Variable Name,Variable Description,Component
TYXP007,Pressure Array Data Point 007,Examination
TYXP008,Pressure Array Data Point 008,Examination
TYXP009,Pressure Array Data Point 009,Examination
TYXP010,Pressure Array Data Point 010,Examination
TYXP011,Pressure Array Data Point 011,Examination
TYXP012,Pressure Array Data Point 012,Examination
TYXP013,Pressure Array Data Point 013,Examination
TYXP014,Pressure Array Data Point 014,Examination
TYXP015,Pressure Array Data Point 015,Examination
TYXP016,Pressure Array Data Point 016,Examination
TYXP017,Pressure Array Data Point 017,Examination
TYXP018,Pressure Array Data Point 018,Examination
TYXP019,Pressure Array Data Point 019,Examination
TYXP020,Pressure Array Data Point 020,Examination
TYXP021,Pressure Array Data Point 021,Examination
TYXP022,Pressure Array Data Point 022,Examination
TYXP023,Pressure Array Data Point 023,Examination
TYXP024,Pressure Array Data Point 024,Examination
TYXP025,Pressure Array Data Point 025,Examination
TYXP026,Pressure Array Data Point 026,Examination
TYXP027,Pressure Array Data Point 027,Examination
TYXP028,Pressure Array Data Point 028,Examination
TYXP029,Pressure Array Data Point 029,Examination
TYXP030,Pressure Array Data Point 030,Examination
TYXP031,Pressure Array Data Point 031,Examination
TYXP032,Pressure Array Data Point 032,Examination
TYXP033,Pressure Array Data Point 033,Examination
TYXP034,Pressure Array Data Point 034,Examination
TYXP035,Pressure Array Data Point 035,Examination
TYXP036,Pressure Array Data Point 036,Examination
TYXP037,Pressure Array Data Point 037,Examination
TYXP038,Pressure Array Data Point 038,Examination
TYXP039,Pressure Array Data Point 039,Examination
TYXP040,Pressure Array Data Point 040,Examination
TYXP041,Pressure Array Data Point 041,Examination
TYXP042,Pressure Array Data Point 042,Examination
TYXP043,Pressure Array Data Point 043,Examination
TYXP044,Pressure Array Data Point 044,Examination
TYXP045,Pressure Array Data Point 045,Examination
TYXP046,Pressure Array Data Point 046,Examination
TYXP047,Pressure Array Data Point 047,Examination
TYXP048,Pressure Array Data Point 048,Examination
TYXP049,Pressure Array Data Point 049,Examination
TYXP050,Pressure Array Data Point 050,Examination
TYXP051,Pressure Array Data Point 051,Examination
TYXP052,Pressure Array Data Point 052,Examination
TYXP053,Pressure Array Data Point 053,Examination
TYXP054,Pressure Array Data Point 054,Examination
TYXP055,Pressure Array Data Point 055,Examination
TYXP056,Pressure Array Data Point 056,Examination
TYXP057,Pressure Array Data Point 057,Examination
TYXP058,Pressure Array Data Point 058,Examination
TYXP059,Pressure Array Data Point 059,Examination
TYXP060,Pressure Array Data Point 060,Examination
TYXP061,Pressure Array Data Point 061,Examination
TYXP062,Pressure Array Data Point 062,Examination
TYXP063,Pressure Array Data Point 063,Examination
TYXP064,Pressure Array Data Point 064,Examination
TYXP065,Pressure Array Data Point 065,Examination
TYXP066,Pressure Array Data Point 066,Examination
TYXP067,Pressure Array Data Point 067,Examination
TYXP068,Pressure Array Data Point 068,Examination
TYXP069,Pressure Array Data Point 069,Examination
TYXP070,Pressure Array Data Point 070,Examination
TYXP071,Pressure Array Data Point 071,Examination
TYXP072,Pressure Array Data Point 072,Examination
TYXP073,Pressure Array Data Point 073,Examination
TYXP074,Pressure Array Data Point 074,Examination
TYXP075,Pressure Array Data Point 075,Examination
TYXP076,Pressure Array Data Point 076,Examination
TYXP077,Pressure Array Data Point 077,Examination
TYXP078,Pressure Array Data Point 078,Examination
TYXP079,Pressure Array Data Point 079,Examination
TYXP080,Pressure Array Data Point 080,Examination
TYXP081,Pressure Array Data Point 081,Examination
TYXP082,Pressure Array Data Point 082,Examination
TYXP083,Pressure Array Data Point 083,Examination
TYXP084,Pressure Array Data Point 084,Examination
TYXP085,Pressure Array Data Point 085,Examination
TYXP086,Pressure Array Data Point 086,Examination
TYXP087,Pressure Array Data Point 087,Examination
TYXP088,Pressure Array Data Point 088,Examination
TYXP089,Pressure Array Data Point 089,Examination
TYXP090,Pressure Array Data Point 090,Examination
TYXP091,Pressure Array Data Point 091,Examination
TYXP092,Pressure Array Data Point 092,Examination
TYXP093,Pressure Array Data Point 093,Examination
TYXP094,Pressure Array Data Point 094,Examination
TYXP095,Pressure Array Data Point 095,Examination
TYXP096,Pressure Array Data Point 096,Examination
TYXP097,Pressure Array Data Point 097,Examination
TYXP098,Pressure Array Data Point 098,Examination
TYXP099,Pressure Array Data Point 099,Examination
TYXP100,Pressure Array Data Point 100,Examination
TYXP101,Pressure Array Data Point 101,Examination
TYXP102,Pressure Array Data Point 102,Examination
TYXP103,Pressure Array Data Point 103,Examination
TYXP104,Pressure Array Data Point 104,Examination
TYXP105,Pressure Array Data Point 105,Examination
TYXP106,Pressure Array Data Point 106,Examination
TYXP107,Pressure Array Data Point 107,Examination
TYXP108,Pressure Array Data Point 108,Examination
TYXP109,Pressure Array Data Point 109,Examination
TYXP110,Pressure Array Data Point 110,Examination
TYXP111,Pressure Array Data Point 111,Examination
TYXP112,Pressure Array Data Point 112,Examination
TYXP113,Pressure Array Data Point 113,Examination
TYXP114,Pressure Array Data Point 114,Examination
TYXP115,Pressure Array Data Point 115,Examination
TYXP116,Pressure Array Data Point 116,Examination
TYXP117,Pressure Array Data Point 117,Examination
TYXP118,Pressure Array Data Point 118,Examination
TYXP119,Pressure Array Data Point 119,Examination
TYXP120,Pressure Array Data Point 120,Examination
TYXP121,Pressure Array Data Point 121,Examination
TYXP122,Pressure Array Data Point 122,Examination
TYXP123,Pressure Array Data Point 123,Examination
TYXP124,Pressure Array Data Point 124,Examination
TYXP125,Pressure Array Data Point 125,Examination
TYXP126,Pressure Array Data Point 126,Examination
TYXP127,Pressure Array Data Point 127,Examination
TYXP128,Pressure Array Data Point 128,Examination
TYXP129,Pressure Array Data Point 129,Examination
TYXP130,Pressure Array Data Point 130,Examination
TYXP131,Pressure Array Data Point 131,Examination
TYXP132,Pressure Array Data Point 132,Examination
TYXP133,Pressure Array Data Point 133,Examination
TYXP134,Pressure Array Data Point 134,Examination
TYXP135,Pressure Array Data Point 135,Examination
TYXP136,Pressure Array Data Point 136,Examination
TYXP137,Pressure Array Data Point 137,Examination
TYXP138,Pressure Array Data Point 138,Examination
TYXP139,Pressure Array Data Point 139,Examination
TYXP140,Pressure Array Data Point 140,Examination
TYXP141,Pressure Array Data Point 141,Examination
TYXP142,Pressure Array Data Point 142,Examination
TYXP143,Pressure Array Data Point 143,Examination
TYXP144,Pressure Array Data Point 144,Examination
TYXP145,Pressure Array Data Point 145,Examination
TYXP146,Pressure Array Data Point 146,Examination
TYXP147,Pressure Array Data Point 147,Examination
TYXP148,Pressure Array Data Point 148,Examination
TYXP149,Pressure Array Data Point 149,Examination
TYXP150,Pressure Array Data Point 150,Examination
TYXP151,Pressure Array Data Point 151,Examination
TYXP152,Pressure Array Data Point 152,Examination
TYXP153,Pressure Array Data Point 153,Examination
TYXP154,Pressure Array Data Point 154,Examination
TYXP155,Pressure Array Data Point 155,Examination
TYXP156,Pressure Array Data Point 156,Examination
TYXP157,Pressure Array Data Point 157,Examination
TYXP158,Pressure Array Data Point 158,Examination
TYXP159,Pressure Array Data Point 159,Examination
TYXP160,Pressure Array Data Point 160,Examination
TYXP161,Pressure Array Data Point 161,Examination
TYXP162,Pressure Array Data Point 162,Examination
TYXP163,Pressure Array Data Point 163,Examination
TYXP164,Pressure Array Data Point 164,Examination
TYXP165,Pressure Array Data Point 165,Examination
TYXP166,Pressure Array Data Point 166,Examination
TYXP167,Pressure Array Data Point 167,Examination
TYXP168,Pressure Array Data Point 168,Examination
TYXP169,Pressure Array Data Point 169,Examination
TYXP170,Pressure Array Data Point 170,Examination
TYXP171,Pressure Array Data Point 171,Examination
TYXP172,Pressure Array Data Point 172,Examination
TYXP173,Pressure Array Data Point 173,Examination
TYXP174,Pressure Array Data Point 174,Examination
TYXP175,Pressure Array Data Point 175,Examination
TYXP176,Pressure Array Data Point 176,Examination
TYXP177,Pressure Array Data Point 177,Examination
TYXP178,Pressure Array Data Point 178,Examination
TYXP179,Pressure Array Data Point 179,Examination
TYXP180,Pressure Array Data Point 180,Examination
TYXP181,Pressure Array Data Point 181,Examination
TYXP182,Pressure Array Data Point 182,Examination
TYXP183,Pressure Array Data Point 183,Examination
TYXP184,Pressure Array Data Point 184,Examination
TYXP185,Pressure Array Data Point 185,Examination
TYXP186,Pressure Array Data Point 186,Examination
TYXP187,Pressure Array Data Point 187,Examination
TYXP188,Pressure Array Data Point 188,Examination
TYXP189,Pressure Array Data Point 189,Examination
TYXP190,Pressure Array Data Point 190,Examination
TYXP191,Pressure Array Data Point 191,Examination
TYXP192,Pressure Array Data Point 192,Examination
TYXP193,Pressure Array Data Point 193,Examination
TYXP194,Pressure Array Data Point 194,Examination
TYXP195,Pressure Array Data Point 195,Examination
TYXP196,Pressure Array Data Point 196,Examination
TYXP197,Pressure Array Data Point 197,Examination
TYXP198,Pressure Array Data Point 198,Examination
TYXP199,Pressure Array Data Point 199,Examination
TYXP200,Pressure Array Data Point 200,Examination
TYXP201,Pressure Array Data Point 201,Examination
TYXP202,Pressure Array Data Point 202,Examination
TYXP203,Pressure Array Data Point 203,Examination
TYXP204,Pressure Array Data Point 204,Examination
TYXP205,Pressure Array Data Point 205,Examination
TYXP206,Pressure Array Data Point 206,Examination
TYXP207,Pressure Array Data Point 207,Examination
TYXP208,Pressure Array Data Point 208,Examination
TYXP209,Pressure Array Data Point 209,Examination
TYXP210,Pressure Array Data Point 210,Examination
TYXP211,Pressure Array Data Point 211,Examination
TYXP212,Pressure Array Data Point 212,Examination
TYXP213,Pressure Array Data Point 213,Examination
TYXP214,Pressure Array Data Point 214,Examination
TYXP215,Pressure Array Data Point 215,Examination
TYXP216,Pressure Array Data Point 216,Examination
TYXP217,Pressure Array Data Point 217,Examination
TYXP218,Pressure Array Data Point 218,Examination
TYXP219,Pressure Array Data Point 219,Examination
TYXP220,Pressure Array Data Point 220,Examination
TYXP221,Pressure Array Data Point 221,Examination
TYXP222,Pressure Array Data Point 222,Examination
TYXP223,Pressure Array Data Point 223,Examination
TYXP224,Pressure Array Data Point 224,Examination
TYXP225,Pressure Array Data Point 225,Examination
TYXP226,Pressure Array Data Point 226,Examination
TYXP227,Pressure Array Data Point 227,Examination
TYXP228,Pressure Array Data Point 228,Examination
TYXP229,Pressure Array Data Point 229,Examination
TYXP230,Pressure Array Data Point 230,Examination
TYXP231,Pressure Array Data Point 231,Examination
TYXP232,Pressure Array Data Point 232,Examination
TYXP233,Pressure Array Data Point 233,Examination
TYXP234,Pressure Array Data Point 234,Examination
TYXP235,Pressure Array Data Point 235,Examination
TYXP236,Pressure Array Data Point 236,Examination
TYXP237,Pressure Array Data Point 237,Examination
TYXP238,Pressure Array Data Point 238,Examination
TYXP239,Pressure Array Data Point 239,Examination
TYXP240,Pressure Array Data Point 240,Examination
TYXP241,Pressure Array Data Point 241,Examination
TYXP242,Pressure Array Data Point 242,Examination
TYXP243,Pressure Array Data Point 243,Examination
TYXP244,Pressure Array Data Point 244,Examination
TYXP245,Pressure Array Data Point 245,Examination
TYXP246,Pressure Array Data Point 246,Examination
TYXP247,Pressure Array Data Point 247,Examination
TYXP248,Pressure Array Data Point 248,Examination
TYXP249,Pressure Array Data Point 249,Examination
TYXP250,Pressure Array Data Point 250,Examination
TYXP251,Pressure Array Data Point 251,Examination
TYXP252,Pressure Array Data Point 252,Examination
TYXP253,Pressure Array Data Point 253,Examination
TYXP254,Pressure Array Data Point 254,Examination
TYXP255,Pressure Array Data Point 255,Examination
TYXP256,Pressure Array Data Point 256,Examination
TYXPEAR,The ear which was tested.,Examination
SEQN,Respondent sequence number.,Examination
WBXA001,Absorbance Array Data Point 001,Examination
WBXA002,Absorbance Array Data Point 002,Examination
WBXA003,Absorbance Array Data Point 003,Examination
WBXA004,Absorbance Array Data Point 004,Examination
WBXA005,Absorbance Array Data Point 005,Examination
WBXA006,Absorbance Array Data Point 006,Examination
WBXA007,Absorbance Array Data Point 007,Examination
WBXA008,Absorbance Array Data Point 008,Examination
WBXA009,Absorbance Array Data Point 009,Examination
WBXA010,Absorbance Array Data Point 010,Examination
WBXA011,Absorbance Array Data Point 011,Examination
WBXA012,Absorbance Array Data Point 012,Examination
WBXA013,Absorbance Array Data Point 013,Examination
WBXA014,Absorbance Array Data Point 014,Examination
WBXA015,Absorbance Array Data Point 015,Examination
WBXA016,Absorbance Array Data Point 016,Examination
WBXA017,Absorbance Array Data Point 017,Examination
WBXA018,Absorbance Array Data Point 018,Examination
WBXA019,Absorbance Array Data Point 019,Examination
WBXA020,Absorbance Array Data Point 020,Examination
WBXA021,Absorbance Array Data Point 021,Examination
WBXA022,Absorbance Array Data Point 022,Examination
WBXA023,Absorbance Array Data Point 023,Examination
WBXA024,Absorbance Array Data Point 024,Examination
WBXA025,Absorbance Array Data Point 025,Examination
WBXA026,Absorbance Array Data Point 026,Examination
WBXA027,Absorbance Array Data Point 027,Examination
WBXA028,Absorbance Array Data Point 028,Examination
WBXA029,Absorbance Array Data Point 029,Examination
WBXA030,Absorbance Array Data Point 030,Examination
WBXA031,Absorbance Array Data Point 031,Examination
WBXA032,Absorbance Array Data Point 032,Examination
WBXA033,Absorbance Array Data Point 033,Examination
WBXA034,Absorbance Array Data Point 034,Examination
WBXA035,Absorbance Array Data Point 035,Examination
WBXA036,Absorbance Array Data Point 036,Examination
WBXA037,Absorbance Array Data Point 037,Examination
WBXA038,Absorbance Array Data Point 038,Examination
WBXA039,Absorbance Array Data Point 039,Examination
WBXA040,Absorbance Array Data Point 040,Examination
WBXA041,Absorbance Array Data Point 041,Examination
WBXA042,Absorbance Array Data Point 042,Examination
WBXA043,Absorbance Array Data Point 043,Examination
WBXA044,Absorbance Array Data Point 044,Examination
WBXA045,Absorbance Array Data Point 045,Examination
WBXA046,Absorbance Array Data Point 046,Examination
WBXA047,Absorbance Array Data Point 047,Examination
WBXA048,Absorbance Array Data Point 048,Examination
WBXA049,Absorbance Array Data Point 049,Examination
WBXA050,Absorbance Array Data Point 050,Examination
WBXA051,Absorbance Array Data Point 051,Examination
WBXA052,Absorbance Array Data Point 052,Examination
WBXA053,Absorbance Array Data Point 053,Examination
WBXA054,Absorbance Array Data Point 054,Examination
