Variable Name,Component,Variable Description
TYXA072,Examination,Admittance Array Data Point 072
TYXA073,Examination,Admittance Array Data Point 073
TYXA074,Examination,Admittance Array Data Point 074
TYXA075,Examination,Admittance Array Data Point 075
TYXA076,Examination,Admittance Array Data Point 076
TYXA077,Examination,Admittance Array Data Point 077
TYXA078,Examination,Admittance Array Data Point 078
TYXA079,Examination,Admittance Array Data Point 079
TYXA080,Examination,Admittance Array Data Point 080
TYXA081,Examination,Admittance Array Data Point 081
TYXA082,Examination,Admittance Array Data Point 082
TYXA083,Examination,Admittance Array Data Point 083
TYXA084,Examination,Admittance Array Data Point 084
TYXA085,Examination,Admittance Array Data Point 085
TYXA086,Examination,Admittance Array Data Point 086
TYXA087,Examination,Admittance Array Data Point 087
TYXA088,Examination,Admittance Array Data Point 088
TYXA089,Examination,Admittance Array Data Point 089
TYXA090,Examination,Admittance Array Data Point 090
TYXA091,Examination,Admittance Array Data Point 091
TYXA092,Examination,Admittance Array Data Point 092
TYXA093,Examination,Admittance Array Data Point 093
TYXA094,Examination,Admittance Array Data Point 094
TYXA095,Examination,Admittance Array Data Point 095
TYXA096,Examination,Admittance Array Data Point 096
TYXA097,Examination,Admittance Array Data Point 097
TYXA098,Examination,Admittance Array Data Point 098
TYXA099,Examination,Admittance Array Data Point 099
TYXA100,Examination,Admittance Array Data Point 100
TYXA101,Examination,Admittance Array Data Point 101
TYXA102,Examination,Admittance Array Data Point 102
TYXA103,Examination,Admittance Array Data Point 103
TYXA104,Examination,Admittance Array Data Point 104
TYXA105,Examination,Admittance Array Data Point 105
TYXA106,Examination,Admittance Array Data Point 106
TYXA107,Examination,Admittance Array Data Point 107
TYXA108,Examination,Admittance Array Data Point 108
TYXA109,Examination,Admittance Array Data Point 109
TYXA110,Examination,Admittance Array Data Point 110
TYXA111,Examination,Admittance Array Data Point 111
TYXA112,Examination,Admittance Array Data Point 112
TYXA113,Examination,Admittance Array Data Point 113
TYXA114,Examination,Admittance Array Data Point 114
TYXA115,Examination,Admittance Array Data Point 115
TYXA116,Examination,Admittance Array Data Point 116
TYXA117,Examination,Admittance Array Data Point 117
TYXA118,Examination,Admittance Array Data Point 118
TYXA119,Examination,Admittance Array Data Point 119
TYXA120,Examination,Admittance Array Data Point 120
TYXA121,Examination,Admittance Array Data Point 121
TYXA122,Examination,Admittance Array Data Point 122
TYXA123,Examination,Admittance Array Data Point 123
TYXA124,Examination,Admittance Array Data Point 124
TYXA125,Examination,Admittance Array Data Point 125
TYXA126,Examination,Admittance Array Data Point 126
TYXA127,Examination,Admittance Array Data Point 127
TYXA128,Examination,Admittance Array Data Point 128
TYXA129,Examination,Admittance Array Data Point 129
TYXA130,Examination,Admittance Array Data Point 130
TYXA131,Examination,Admittance Array Data Point 131
TYXA132,Examination,Admittance Array Data Point 132
TYXA133,Examination,Admittance Array Data Point 133
TYXA134,Examination,Admittance Array Data Point 134
TYXA135,Examination,Admittance Array Data Point 135
TYXA136,Examination,Admittance Array Data Point 136
TYXA137,Examination,Admittance Array Data Point 137
TYXA138,Examination,Admittance Array Data Point 138
TYXA139,Examination,Admittance Array Data Point 139
TYXA140,Examination,Admittance Array Data Point 140
TYXA141,Examination,Admittance Array Data Point 141
TYXA142,Examination,Admittance Array Data Point 142
TYXA143,Examination,Admittance Array Data Point 143
TYXA144,Examination,Admittance Array Data Point 144
TYXA145,Examination,Admittance Array Data Point 145
TYXA146,Examination,Admittance Array Data Point 146
TYXA147,Examination,Admittance Array Data Point 147
TYXA148,Examination,Admittance Array Data Point 148
TYXA149,Examination,Admittance Array Data Point 149
TYXA150,Examination,Admittance Array Data Point 150
TYXA151,Examination,Admittance Array Data Point 151
TYXA152,Examination,Admittance Array Data Point 152
TYXA153,Examination,Admittance Array Data Point 153
TYXA154,Examination,Admittance Array Data Point 154
TYXA155,Examination,Admittance Array Data Point 155
TYXA156,Examination,Admittance Array Data Point 156
TYXA157,Examination,Admittance Array Data Point 157
TYXA158,Examination,Admittance Array Data Point 158
TYXA159,Examination,Admittance Array Data Point 159
TYXA160,Examination,Admittance Array Data Point 160
TYXA161,Examination,Admittance Array Data Point 161
TYXA162,Examination,Admittance Array Data Point 162
TYXA163,Examination,Admittance Array Data Point 163
TYXA164,Examination,Admittance Array Data Point 164
TYXA165,Examination,Admittance Array Data Point 165
TYXA166,Examination,Admittance Array Data Point 166
TYXA167,Examination,Admittance Array Data Point 167
TYXA168,Examination,Admittance Array Data Point 168
TYXA169,Examination,Admittance Array Data Point 169
TYXA170,Examination,Admittance Array Data Point 170
TYXA171,Examination,Admittance Array Data Point 171
TYXA172,Examination,Admittance Array Data Point 172
TYXA173,Examination,Admittance Array Data Point 173
TYXA174,Examination,Admittance Array Data Point 174
TYXA175,Examination,Admittance Array Data Point 175
TYXA176,Examination,Admittance Array Data Point 176
TYXA177,Examination,Admittance Array Data Point 177
TYXA178,Examination,Admittance Array Data Point 178
TYXA179,Examination,Admittance Array Data Point 179
TYXA180,Examination,Admittance Array Data Point 180
TYXA181,Examination,Admittance Array Data Point 181
TYXA182,Examination,Admittance Array Data Point 182
TYXA183,Examination,Admittance Array Data Point 183
TYXA184,Examination,Admittance Array Data Point 184
TYXA185,Examination,Admittance Array Data Point 185
TYXA186,Examination,Admittance Array Data Point 186
TYXA187,Examination,Admittance Array Data Point 187
TYXA188,Examination,Admittance Array Data Point 188
TYXA189,Examination,Admittance Array Data Point 189
TYXA190,Examination,Admittance Array Data Point 190
TYXA191,Examination,Admittance Array Data Point 191
TYXA192,Examination,Admittance Array Data Point 192
TYXA193,Examination,Admittance Array Data Point 193
TYXA194,Examination,Admittance Array Data Point 194
TYXA195,Examination,Admittance Array Data Point 195
TYXA196,Examination,Admittance Array Data Point 196
TYXA197,Examination,Admittance Array Data Point 197
TYXA198,Examination,Admittance Array Data Point 198
TYXA199,Examination,Admittance Array Data Point 199
TYXA200,Examination,Admittance Array Data Point 200
TYXA201,Examination,Admittance Array Data Point 201
TYXA202,Examination,Admittance Array Data Point 202
TYXA203,Examination,Admittance Array Data Point 203
TYXA204,Examination,Admittance Array Data Point 204
TYXA205,Examination,Admittance Array Data Point 205
TYXA206,Examination,Admittance Array Data Point 206
TYXA207,Examination,Admittance Array Data Point 207
TYXA208,Examination,Admittance Array Data Point 208
TYXA209,Examination,Admittance Array Data Point 209
TYXA210,Examination,Admittance Array Data Point 210
TYXA211,Examination,Admittance Array Data Point 211
TYXA212,Examination,Admittance Array Data Point 212
TYXA213,Examination,Admittance Array Data Point 213
TYXA214,Examination,Admittance Array Data Point 214
TYXA215,Examination,Admittance Array Data Point 215
TYXA216,Examination,Admittance Array Data Point 216
TYXA217,Examination,Admittance Array Data Point 217
TYXA218,Examination,Admittance Array Data Point 218
TYXA219,Examination,Admittance Array Data Point 219
TYXA220,Examination,Admittance Array Data Point 220
TYXA221,Examination,Admittance Array Data Point 221
TYXA222,Examination,Admittance Array Data Point 222
TYXA223,Examination,Admittance Array Data Point 223
TYXA224,Examination,Admittance Array Data Point 224
TYXA225,Examination,Admittance Array Data Point 225
TYXA226,Examination,Admittance Array Data Point 226
TYXA227,Examination,Admittance Array Data Point 227
TYXA228,Examination,Admittance Array Data Point 228
TYXA229,Examination,Admittance Array Data Point 229
TYXA230,Examination,Admittance Array Data Point 230
TYXA231,Examination,Admittance Array Data Point 231
TYXA232,Examination,Admittance Array Data Point 232
TYXA233,Examination,Admittance Array Data Point 233
TYXA234,Examination,Admittance Array Data Point 234
TYXA235,Examination,Admittance Array Data Point 235
TYXA236,Examination,Admittance Array Data Point 236
TYXA237,Examination,Admittance Array Data Point 237
TYXA238,Examination,Admittance Array Data Point 238
TYXA239,Examination,Admittance Array Data Point 239
TYXA240,Examination,Admittance Array Data Point 240
TYXA241,Examination,Admittance Array Data Point 241
TYXA242,Examination,Admittance Array Data Point 242
TYXA243,Examination,Admittance Array Data Point 243
TYXA244,Examination,Admittance Array Data Point 244
TYXA245,Examination,Admittance Array Data Point 245
TYXA246,Examination,Admittance Array Data Point 246
TYXA247,Examination,Admittance Array Data Point 247
TYXA248,Examination,Admittance Array Data Point 248
TYXA249,Examination,Admittance Array Data Point 249
TYXA250,Examination,Admittance Array Data Point 250
TYXA251,Examination,Admittance Array Data Point 251
TYXA252,Examination,Admittance Array Data Point 252
TYXA253,Examination,Admittance Array Data Point 253
TYXA254,Examination,Admittance Array Data Point 254
TYXA255,Examination,Admittance Array Data Point 255
TYXA256,Examination,Admittance Array Data Point 256
TYXP001,Examination,Pressure Array Data Point 001
TYXP002,Examination,Pressure Array Data Point 002
TYXP003,Examination,Pressure Array Data Point 003
TYXP004,Examination,Pressure Array Data Point 004
TYXP005,Examination,Pressure Array Data Point 005
TYXP006,Examination,Pressure Array Data Point 006
TYXP007,Examination,Pressure Array Data Point 007
TYXP008,Examination,Pressure Array Data Point 008
TYXP009,Examination,Pressure Array Data Point 009
TYXP010,Examination,Pressure Array Data Point 010
TYXP011,Examination,Pressure Array Data Point 011
TYXP012,Examination,Pressure Array Data Point 012
TYXP013,Examination,Pressure Array Data Point 013
TYXP014,Examination,Pressure Array Data Point 014
TYXP015,Examination,Pressure Array Data Point 015
TYXP016,Examination,Pressure Array Data Point 016
TYXP017,Examination,Pressure Array Data Point 017
TYXP018,Examination,Pressure Array Data Point 018
TYXP019,Examination,Pressure Array Data Point 019
TYXP020,Examination,Pressure Array Data Point 020
TYXP021,Examination,Pressure Array Data Point 021
TYXP022,Examination,Pressure Array Data Point 022
TYXP023,Examination,Pressure Array Data Point 023
TYXP024,Examination,Pressure Array Data Point 024
TYXP025,Examination,Pressure Array Data Point 025
TYXP026,Examination,Pressure Array Data Point 026
TYXP027,Examination,Pressure Array Data Point 027
TYXP028,Examination,Pressure Array Data Point 028
TYXP029,Examination,Pressure Array Data Point 029
TYXP030,Examination,Pressure Array Data Point 030
TYXP031,Examination,Pressure Array Data Point 031
TYXP032,Examination,Pressure Array Data Point 032
TYXP033,Examination,Pressure Array Data Point 033
TYXP034,Examination,Pressure Array Data Point 034
TYXP035,Examination,Pressure Array Data Point 035
TYXP036,Examination,Pressure Array Data Point 036
TYXP037,Examination,Pressure Array Data Point 037
TYXP038,Examination,Pressure Array Data Point 038
TYXP039,Examination,Pressure Array Data Point 039
TYXP040,Examination,Pressure Array Data Point 040
TYXP041,Examination,Pressure Array Data Point 041
TYXP042,Examination,Pressure Array Data Point 042
TYXP043,Examination,Pressure Array Data Point 043
TYXP044,Examination,Pressure Array Data Point 044
TYXP045,Examination,Pressure Array Data Point 045
TYXP046,Examination,Pressure Array Data Point 046
TYXP047,Examination,Pressure Array Data Point 047
TYXP048,Examination,Pressure Array Data Point 048
TYXP049,Examination,Pressure Array Data Point 049
TYXP050,Examination,Pressure Array Data Point 050
TYXP051,Examination,Pressure Array Data Point 051
TYXP052,Examination,Pressure Array Data Point 052
TYXP053,Examination,Pressure Array Data Point 053
TYXP054,Examination,Pressure Array Data Point 054
TYXP055,Examination,Pressure Array Data Point 055
TYXP056,Examination,Pressure Array Data Point 056
TYXP057,Examination,Pressure Array Data Point 057
TYXP058,Examination,Pressure Array Data Point 058
TYXP059,Examination,Pressure Array Data Point 059
TYXP060,Examination,Pressure Array Data Point 060
TYXP061,Examination,Pressure Array Data Point 061
TYXP062,Examination,Pressure Array Data Point 062
TYXP063,Examination,Pressure Array Data Point 063
TYXP064,Examination,Pressure Array Data Point 064
TYXP065,Examination,Pressure Array Data Point 065
TYXP066,Examination,Pressure Array Data Point 066
TYXP067,Examination,Pressure Array Data Point 067
TYXP068,Examination,Pressure Array Data Point 068
TYXP069,Examination,Pressure Array Data Point 069
TYXP070,Examination,Pressure Array Data Point 070
TYXP071,Examination,Pressure Array Data Point 071
TYXP072,Examination,Pressure Array Data Point 072
TYXP073,Examination,Pressure Array Data Point 073
TYXP074,Examination,Pressure Array Data Point 074
TYXP075,Examination,Pressure Array Data Point 075
TYXP076,Examination,Pressure Array Data Point 076
TYXP077,Examination,Pressure Array Data Point 077
TYXP078,Examination,Pressure Array Data Point 078
TYXP079,Examination,Pressure Array Data Point 079
TYXP080,Examination,Pressure Array Data Point 080
TYXP081,Examination,Pressure Array Data Point 081
TYXP082,Examination,Pressure Array Data Point 082
TYXP083,Examination,Pressure Array Data Point 083
TYXP084,Examination,Pressure Array Data Point 084
TYXP085,Examination,Pressure Array Data Point 085
TYXP086,Examination,Pressure Array Data Point 086
TYXP087,Examination,Pressure Array Data Point 087
TYXP088,Examination,Pressure Array Data Point 088
TYXP089,Examination,Pressure Array Data Point 089
TYXP090,Examination,Pressure Array Data Point 090
TYXP091,Examination,Pressure Array Data Point 091
TYXP092,Examination,Pressure Array Data Point 092
TYXP093,Examination,Pressure Array Data Point 093
TYXP094,Examination,Pressure Array Data Point 094
TYXP095,Examination,Pressure Array Data Point 095
TYXP096,Examination,Pressure Array Data Point 096
TYXP097,Examination,Pressure Array Data Point 097
TYXP098,Examination,Pressure Array Data Point 098
TYXP099,Examination,Pressure Array Data Point 099
TYXP100,Examination,Pressure Array Data Point 100
TYXP101,Examination,Pressure Array Data Point 101
TYXP102,Examination,Pressure Array Data Point 102
TYXP103,Examination,Pressure Array Data Point 103
TYXP104,Examination,Pressure Array Data Point 104
TYXP105,Examination,Pressure Array Data Point 105
TYXP106,Examination,Pressure Array Data Point 106
TYXP107,Examination,Pressure Array Data Point 107
TYXP108,Examination,Pressure Array Data Point 108
TYXP109,Examination,Pressure Array Data Point 109
TYXP110,Examination,Pressure Array Data Point 110
TYXP111,Examination,Pressure Array Data Point 111
TYXP112,Examination,Pressure Array Data Point 112
TYXP113,Examination,Pressure Array Data Point 113
TYXP114,Examination,Pressure Array Data Point 114
TYXP115,Examination,Pressure Array Data Point 115
TYXP116,Examination,Pressure Array Data Point 116
TYXP117,Examination,Pressure Array Data Point 117
TYXP118,Examination,Pressure Array Data Point 118
TYXP119,Examination,Pressure Array Data Point 119
TYXP120,Examination,Pressure Array Data Point 120
TYXP121,Examination,Pressure Array Data Point 121
