Variable,Encoding
URXUCR,{'.': 'Missing'}
URXCRS,{'.': 'Missing'}
URDACT,{'.': 'Missing'}
WTSSGP2Y,{'.': 'Missing'}
SSAGP,{'.': 'Missing'}
WTSA2YR,"{0: 'Participants 3+ years with no lab specimen', '.': 'Missing'}"
URXUAS,{'.': 'Missing'}
URXUAS3,{'.': 'Missing'}
URXUAS5,{'.': 'Missing'}
URXUAB,{'.': 'Missing'}
URXUAC,{'.': 'Missing'}
URXUDMA,{'.': 'Missing'}
URXUMMA,{'.': 'Missing'}
URDUMMAL,"{0: 'At or above the detection limit', 1: 'below lower detection limit', '.': 'Missing'}"
LBDHDD,{'.': 'Missing'}
LBDHDDSI,{'.': 'Missing'}
WTSAF2YR,"{0: 'No Lab Result or Not Fasting for 8 to <24 hours', '.': 'Missing'}"
LBXTR,{'.': 'Missing'}
LBDTRSI,{'.': 'Missing'}
LBDLDL,{'.': 'Missing'}
LBDLDLSI,{'.': 'Missing'}
LBDLDLM,{'.': 'Missing'}
LBDLDMSI,{'.': 'Missing'}
LBDLDLN,{'.': 'Missing'}
LBDLDNSI,{'.': 'Missing'}
LBXTC,{'.': 'Missing'}
LBDTCSI,{'.': 'Missing'}
URXUCM,{'.': 'Missing'}
LBXBCR,{'.': 'Missing'}
LBDBCRSI,{'.': 'Missing'}
LBXBCO,{'.': 'Missing'}
LBDBCOSI,{'.': 'Missing'}
LBXWBCSI,"{400: '400 and over', '.': 'Missing'}"
LBXLYPCT,{'.': 'Missing'}
LBXMOPCT,{'.': 'Missing'}
LBXNEPCT,{'.': 'Missing'}
LBXEOPCT,{'.': 'Missing'}
LBXBAPCT,{'.': 'Missing'}
LBDLYMNO,{'.': 'Missing'}
LBDMONO,{'.': 'Missing'}
LBDNENO,{'.': 'Missing'}
LBDEONO,{'.': 'Missing'}
LBDBANO,{'.': 'Missing'}
LBXRBCSI,{'.': 'Missing'}
LBXHGB,{'.': 'Missing'}
LBXHCT,{'.': 'Missing'}
LBXMCVSI,{'.': 'Missing'}
LBXMCHSI,{'.': 'Missing'}
LBXMC,{'.': 'Missing'}
LBXRDW,{'.': 'Missing'}
LBXPLTSI,{'.': 'Missing'}
LBXMPSI,{'.': 'Missing'}
LBXNRBC,{'.': 'Missing'}
LBXCOT,{'.': 'Missing'}
URXCOTT,{'.': 'Missing'}
URXHCTT,{'.': 'Missing'}
URXANBT,{'.': 'Missing'}
URXANTT,{'.': 'Missing'}
URXCOXT,{'.': 'Missing'}
URXHPBT,{'.': 'Missing'}
URXNICT,{'.': 'Missing'}
URXNNCT,{'.': 'Missing'}
URXNOXT,{'.': 'Missing'}
URDTNE2,{'.': 'Missing'}
URDTNE3,{'.': 'Missing'}
URDTNE6,{'.': 'Missing'}
URDTNE7,{'.': 'Missing'}
LBXIGG,"{1: 'positive', 2: 'negative', 3: 'indeterminate', '.': 'Missing'}"
LBXIGM,"{1: 'positive', 2: 'negative', 3: 'indeterminate', '.': 'Missing'}"
LBXIGGA,"{1: 'low', 2: 'high', 3: 'indeterminate', '.': 'Missing'}"
LBXEOA,{'.': 'Missing'}
PHQ020,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
PHACOFHR,{'.': 'Missing'}
PHACOFMN,{'.': 'Missing'}
PHQ030,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
PHAALCHR,{'.': 'Missing'}
PHAALCMN,{'.': 'Missing'}
PHQ040,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
PHAGUMHR,{'.': 'Missing'}
PHAGUMMN,{'.': 'Missing'}
PHQ050,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
PHAANTHR,{'.': 'Missing'}
PHAANTMN,{'.': 'Missing'}
PHQ060,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
PHASUPHR,{'.': 'Missing'}
PHASUPMN,{'.': 'Missing'}
PHAFSTHR,{'.': 'Missing'}
PHAFSTMN,{'.': 'Missing'}
PHDSESN,"{0: 'morning', 1: 'afternoon', 2: 'evening', '.': 'Missing'}"
LBXFER,{'.': 'Missing'}
LBDFERSI,{'.': 'Missing'}
WTSB2YR,"{0: 'Participants 6+ years with no lab specimen', '.': 'Missing'}"
URXBCPP,{'.': 'Missing'}
URXBCEP,{'.': 'Missing'}
URXBDCP,{'.': 'Missing'}
URXDBUP,{'.': 'Missing'}
URXDPHP,{'.': 'Missing'}
URXTBBA,{'.': 'Missing'}
WTSSBJ2Y,"{0: 'No lab specimen', '.': 'Missing'}"
SSIPPP,{'.': 'Missing'}
SSIPPPL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSBPPP,{'.': 'Missing'}
SSBPPPL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
WTFOL2YR,"{0: 'No Lab Result', '.': 'Missing'}"
LBDRFO,{'.': 'Missing'}
LBDRFOSI,{'.': 'Missing'}
LBDFOTSI,{'.': 'Missing'}
LBDFOT,{'.': 'Missing'}
LBXSF1SI,{'.': 'Missing'}
LBXSF2SI,{'.': 'Missing'}
LBXSF3SI,{'.': 'Missing'}
LBXSF4SI,{'.': 'Missing'}
LBXSF5SI,{'.': 'Missing'}
LBXSF6SI,{'.': 'Missing'}
LBXGH,{'.': 'Missing'}
SSGLYP,{'.': 'Missing'}
SSGLYPL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
LBXHA,"{1: 'Positive', 2: 'Negative', 3: 'Indeterminate', '.': 'Missing'}"
LBXHBC,"{1: 'Positive', 2: 'Negative', 3: 'Indeterminate', '.': 'Missing'}"
LBDHBG,"{1: 'Positive', 2: 'Negative', 3: 'Indeterminate', '.': 'Missing'}"
LBDHD,"{1: 'Positive', 2: 'Negative', 3: 'Indeterminate', '.': 'Missing'}"
LBXHBS,"{1: 'Positive', 2: 'Negative', 3: 'Indeterminate', '.': 'Missing'}"
LBXHCR,"{1: 'Positive', 2: 'Negative', 3: 'Negative Screening HCV Antibody', '.': 'Missing'}"
LBDHCI,"{1: 'Positive', 2: 'Negative', 3: 'Negative Screening HCV Antibody', 4: 'Positive HCV RNA', '.': 'Missing'}"
LBXHCG,"{1: 'Genotype 1a', 2: 'Genotype 1b', 3: 'Gen 1 other than a/b/not determined', 4: 'Genotype 2', 5: 'Genotype 3', 6: 'Genotype 4', 7: 'Genotype 5', 8: 'Genotype 6', 9: 'Genotype undetermined', '.': 'Missing'}"
LBDHEG,"{1: 'Positive', 2: 'Negative', 3: 'Indeterminate', '.': 'Missing'}"
LBDHEM,"{1: 'Positive', 2: 'Negative', 3: 'Indeterminate', '.': 'Missing'}"
LBXHSCRP,{'.': 'Missing'}
LBXHIVC,"{1: 'HIV-1/2 Reactive', 2: 'HIV-1/2 Non-reactive', '.': 'Missing'}"
LBXHIV1,"{1: 'Reactive', 2: 'Non-reactive', 3: 'Indeterminate', '.': 'Missing'}"
LBXHIV2,"{1: 'Reactive', 2: 'Non-reactive', 3: 'Indeterminate', '.': 'Missing'}"
LBXHNAT,"{1: 'Reactive for HIV-1', 2: 'Non-reactive for HIV-1', '.': 'Missing'}"
LBXIN,{'.': 'Missing'}
LBDINSI,{'.': 'Missing'}
URXUIO,{'.': 'Missing'}
LBXIRN,{'.': 'Missing'}
LBDIRNSI,{'.': 'Missing'}
LBXUIB,{'.': 'Missing'}
LBDUIBSI,{'.': 'Missing'}
LBDTIB,{'.': 'Missing'}
LBDTIBSI,{'.': 'Missing'}
LBDPCT,{'.': 'Missing'}
LBXBPB,{'.': 'Missing'}
LBDBPBSI,{'.': 'Missing'}
LBXBCD,{'.': 'Missing'}
LBDBCDSI,{'.': 'Missing'}
LBXTHG,{'.': 'Missing'}
LBDTHGSI,{'.': 'Missing'}
LBXBSE,{'.': 'Missing'}
LBDBSESI,{'.': 'Missing'}
LBXBMN,{'.': 'Missing'}
LBDBMNSI,{'.': 'Missing'}
URXUHG,{'.': 'Missing'}
LBXIHG,{'.': 'Missing'}
LBDIHGSI,{'.': 'Missing'}
LBXBGE,{'.': 'Missing'}
LBDBGESI,{'.': 'Missing'}
LBXBGM,{'.': 'Missing'}
LBDBGMSI,{'.': 'Missing'}
URXUBA,{'.': 'Missing'}
URXUCD,{'.': 'Missing'}
URXUCO,{'.': 'Missing'}
URXUCS,{'.': 'Missing'}
URXUMO,{'.': 'Missing'}
URXUMN,{'.': 'Missing'}
URXUPB,{'.': 'Missing'}
URXUSB,{'.': 'Missing'}
URXUSN,{'.': 'Missing'}
URXUTL,{'.': 'Missing'}
URXUTU,{'.': 'Missing'}
URXUNI,{'.': 'Missing'}
URXOP1,{'.': 'Missing'}
URXOP2,{'.': 'Missing'}
URXOP3,{'.': 'Missing'}
URXOP4,{'.': 'Missing'}
URXOP5,{'.': 'Missing'}
URXOP6,{'.': 'Missing'}
URXUP8,{'.': 'Missing'}
URXNO3,{'.': 'Missing'}
URXSCN,{'.': 'Missing'}
LBXPFDE,{'.': 'Missing'}
LBDPFDEL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
LBXPFHS,{'.': 'Missing'}
LBDPFHSL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
LBXMPAH,{'.': 'Missing'}
LBDMPAHL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
LBXPFNA,{'.': 'Missing'}
LBDPFNAL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
LBXPFUA,{'.': 'Missing'}
LBDPFUAL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
LBXNFOA,{'.': 'Missing'}
LBDNFOAL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
LBXBFOA,{'.': 'Missing'}
LBDBFOAL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
LBXNFOS,{'.': 'Missing'}
LBDNFOSL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
LBXMFOS,{'.': 'Missing'}
LBDMFOSL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSDONA,{'.': 'Missing'}
SSDONAL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSGENX,{'.': 'Missing'}
SSGENXL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSCLPF,{'.': 'Missing'}
SSCLPFL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSFHPS,{'.': 'Missing'}
SSFHPSL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSPFHA,{'.': 'Missing'}
SSPFHAL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
URXCNP,{'.': 'Missing'}
URXCOP,{'.': 'Missing'}
URXECP,{'.': 'Missing'}
URXECPT,{'.': 'Missing'}
URXHIBP,{'.': 'Missing'}
URXMBP,{'.': 'Missing'}
URXMC1,{'.': 'Missing'}
URXMCOH,{'.': 'Missing'}
URXMEP,{'.': 'Missing'}
URXMHBP,{'.': 'Missing'}
URXMHH,{'.': 'Missing'}
URXMHHT,{'.': 'Missing'}
URXMHNC,{'.': 'Missing'}
URXMHP,{'.': 'Missing'}
URXMIB,{'.': 'Missing'}
URXMNP,{'.': 'Missing'}
URXMOH,{'.': 'Missing'}
URXMONP,{'.': 'Missing'}
URXMZP,{'.': 'Missing'}
LBXGLU,{'.': 'Missing'}
LBDGLUSI,{'.': 'Missing'}
LBXSATSI,{'.': 'Missing'}
LBXSAL,{'.': 'Missing'}
LBDSALSI,{'.': 'Missing'}
LBXSAPSI,{'.': 'Missing'}
LBXSASSI,{'.': 'Missing'}
LBXSC3SI,{'.': 'Missing'}
LBXSBU,{'.': 'Missing'}
LBDSBUSI,{'.': 'Missing'}
LBXSCLSI,{'.': 'Missing'}
LBXSCK,{'.': 'Missing'}
LBXSCR,{'.': 'Missing'}
LBDSCRSI,{'.': 'Missing'}
LBXSGB,{'.': 'Missing'}
LBDSGBSI,{'.': 'Missing'}
LBXSGL,{'.': 'Missing'}
LBDSGLSI,{'.': 'Missing'}
LBXSGTSI,{'.': 'Missing'}
LBXSIR,{'.': 'Missing'}
LBDSIRSI,{'.': 'Missing'}
LBXSLDSI,{'.': 'Missing'}
LBXSOSSI,{'.': 'Missing'}
LBXSPH,{'.': 'Missing'}
LBDSPHSI,{'.': 'Missing'}
LBXSKSI,{'.': 'Missing'}
LBXSNASI,{'.': 'Missing'}
LBXSTB,{'.': 'Missing'}
LBDSTBSI,{'.': 'Missing'}
LBXSCA,{'.': 'Missing'}
LBDSCASI,{'.': 'Missing'}
LBXSCH,{'.': 'Missing'}
LBDSCHSI,{'.': 'Missing'}
LBXSTP,{'.': 'Missing'}
LBDSTPSI,{'.': 'Missing'}
LBXSTR,{'.': 'Missing'}
LBDSTRSI,{'.': 'Missing'}
LBXSUA,{'.': 'Missing'}
LBDSUASI,{'.': 'Missing'}
LBXTFR,{'.': 'Missing'}
LBDTFRSI,{'.': 'Missing'}
URXVOL1,{'.': 'Missing'}
URDFLOW1,{'.': 'Missing'}
URDTIME1,{'.': 'Missing'}
URXVOL2,{'.': 'Missing'}
URDFLOW2,{'.': 'Missing'}
URDTIME2,{'.': 'Missing'}
URXVOL3,{'.': 'Missing'}
URDFLOW3,{'.': 'Missing'}
URDTIME3,{'.': 'Missing'}
URXPREG,"{1: 'Positive', 2: 'Negative', 3: 'Not Done', 4: 'Invalid', '.': 'Missing'}"
LBDALCSI,{'.': 'Missing'}
LBXARY,{'.': 'Missing'}
LBDARYSI,{'.': 'Missing'}
LBXBEC,{'.': 'Missing'}
LBDBECSI,{'.': 'Missing'}
LBXCBC,{'.': 'Missing'}
LBDCBCSI,{'.': 'Missing'}
LBXCRY,{'.': 'Missing'}
LBDCRYSI,{'.': 'Missing'}
LBXGTC,{'.': 'Missing'}
LBDGTCSI,{'.': 'Missing'}
LBXLUZ,{'.': 'Missing'}
LBDLUZSI,{'.': 'Missing'}
LBXLYC,{'.': 'Missing'}
LBDLYCSI,{'.': 'Missing'}
LBXRPL,{'.': 'Missing'}
LBDRPLSI,{'.': 'Missing'}
LBXRST,{'.': 'Missing'}
LBDRSTSI,{'.': 'Missing'}
LBXLCC,{'.': 'Missing'}
LBDLCCSI,{'.': 'Missing'}
LBXVIA,{'.': 'Missing'}
LBDVIASI,{'.': 'Missing'}
LBXVIE,{'.': 'Missing'}
LBDVIESI,{'.': 'Missing'}
LBXVIC,{'.': 'Missing'}
LBDVICSI,{'.': 'Missing'}
LBXVIDMS,{'.': 'Missing'}
LBXVD2MS,{'.': 'Missing'}
LBXVD3MS,{'.': 'Missing'}
LBXVE3MS,{'.': 'Missing'}
URX2MH,{'.': 'Missing'}
URX34M,{'.': 'Missing'}
URXAAM,{'.': 'Missing'}
URXAMC,{'.': 'Missing'}
URXATC,{'.': 'Missing'}
URXBMA,{'.': 'Missing'}
URXBPM,{'.': 'Missing'}
URXCEM,{'.': 'Missing'}
URXCYHA,{'.': 'Missing'}
URXCYM,{'.': 'Missing'}
URXDHB,{'.': 'Missing'}
URXGAM,{'.': 'Missing'}
URXHEM,{'.': 'Missing'}
URXHP2,{'.': 'Missing'}
URXHPM,{'.': 'Missing'}
URXIPM3,{'.': 'Missing'}
URXMAD,{'.': 'Missing'}
URXMB3,{'.': 'Missing'}
URXPHE,{'.': 'Missing'}
URXPHG,{'.': 'Missing'}
URXPMM,{'.': 'Missing'}
URXTTC,{'.': 'Missing'}
WTSSAJ2Y,"{0: 'Participants 3+ years with no surplus lab specimen', '.': 'Missing'}"
SSHMFA,{'.': 'Missing'}
SSHMFAL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSHMFG,{'.': 'Missing'}
SSHMFGL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSMUCA,{'.': 'Missing'}
SSMUCAL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSN2FG,{'.': 'Missing'}
SSN2FGL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
SSPHMA,{'.': 'Missing'}
SSPHMAL,"{0: 'At or above the detection limit', 1: 'Below lower detection limit', '.': 'Missing'}"
WTSVOC2Y,"{0: 'No Lab Result', '.': 'Missing'}"
LBX2DF,{'.': 'Missing'}
LBX4CE,{'.': 'Missing'}
LBXV06,{'.': 'Missing'}
LBXV07N,{'.': 'Missing'}
LBXV08N,{'.': 'Missing'}
LBXV1D,{'.': 'Missing'}
LBXV2A,{'.': 'Missing'}
LBXV3B,{'.': 'Missing'}
LBXV4C,{'.': 'Missing'}
LBXVBF,{'.': 'Missing'}
LBXVBM,{'.': 'Missing'}
LBXVBZ,{'.': 'Missing'}
LBXVBZN,{'.': 'Missing'}
LBXVC6,{'.': 'Missing'}
LBXVCB,{'.': 'Missing'}
LBXVCF,{'.': 'Missing'}
LBXVCM,{'.': 'Missing'}
LBXVCT,{'.': 'Missing'}
LBXVDB,{'.': 'Missing'}
LBXVDE,{'.': 'Missing'}
LBXVDEE,{'.': 'Missing'}
LBXVEA,{'.': 'Missing'}
LBXVEB,{'.': 'Missing'}
LBXVEC,{'.': 'Missing'}
LBXVFN,{'.': 'Missing'}
LBXVIBN,{'.': 'Missing'}
LBXVIPB,{'.': 'Missing'}
LBXVMC,{'.': 'Missing'}
LBXVME,{'.': 'Missing'}
LBXVMCP,{'.': 'Missing'}
LBXVMIK,{'.': 'Missing'}
LBXVNB,{'.': 'Missing'}
LBXVOX,{'.': 'Missing'}
LBXVTC,{'.': 'Missing'}
LBXVTE,{'.': 'Missing'}
LBXVTFT,{'.': 'Missing'}
LBXVTHF,{'.': 'Missing'}
LBXVTP,{'.': 'Missing'}
LBXVVB,{'.': 'Missing'}
LBXVXY,{'.': 'Missing'}
ACD011A,"{1: 'English', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
ACD011B,"{8: 'Spanish', '.': 'Missing'}"
ACD011C,"{9: 'Other', '.': 'Missing'}"
ACD040,"{1: 'Only Spanish,', 2: 'More Spanish than English', 3: 'Both equally', 4: 'More English than Spanish', 5: 'Only English', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
ACD110,"{1: 'Only Non-English language', 2: 'More Non-English than English', 3: 'Both equally', 4: 'More English than Non-English', 5: 'Only English', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
ALQ111,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
ALQ121,"{0: 'Never in the last year', 1: 'Every day', 2: 'Nearly every day', 3: '3 to 4 times a week', 4: '2 times a week', 5: 'Once a week', 6: '2 to 3 times a month', 7: 'Once a month', 8: '7 to 11 times in the last year', 9: '3 to 6 times in the last year', 10: '1 to 2 times in the last year', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
ALQ130,"{15: '15 drinks or more', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
ALQ142,"{0: 'Never in the last year', 1: 'Every day', 2: 'Nearly every day', 3: '3 to 4 times a week', 4: '2 times a week', 5: 'Once a week', 6: '2 to 3 times a month', 7: 'Once a month', 8: '7 to 11 times in the last year', 9: '3 to 6 times in the last year', 10: '1 to 2 times in the last year', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
ALQ270,"{0: 'Never in the last year', 1: 'Every day', 2: 'Nearly every day', 3: '3 to 4 times a week', 4: '2 times a week', 5: 'Once a week', 6: '2 to 3 times a month', 7: 'Once a month', 8: '7 to 11 times in the last year', 9: '3 to 6 times in the last year', 10: '1 to 2 times in the last year', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
ALQ280,"{0: 'Never in the last year', 1: 'Every day', 2: 'Nearly every day', 3: '3 to 4 times a week', 4: '2 times a week', 5: 'Once a week', 6: '2 to 3 times a month', 7: 'Once a month', 8: '7 to 11 times in the last year', 9: '3 to 6 times in the last year', 10: '1 to 2 times in the last year', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
ALQ290,"{0: 'Never in the last year', 1: 'Every day', 2: 'Nearly every day', 3: '3 to 4 times a week', 4: '2 times a week', 5: 'Once a week', 6: '2 to 3 times a month', 7: 'Once a month', 8: '7 to 11 times in the last year', 9: '3 to 6 times in the last year', 10: '1 to 2 times in the last year', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
ALQ151,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
ALQ170,"{30: 'More than 20 times a month', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
AUQ054,"{1: 'Excellent', 2: 'Good', 3: 'A little trouble', 4: 'Moderate hearing trouble', 5: 'A lot of trouble', 6: 'Deaf', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
AUQ060,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ070,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ080,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ090,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ400,"{1: 'Before age 1 year old', 2: 'Between 2 and 5 years old', 3: 'Between 6 and 19 years old', 4: 'Between 20 and 39 years old', 5: 'Between 40 and 59 years old', 6: 'Between 60 and 69 years old', 7: '70 years and older', 8: 'No hearing loss', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
AUQ410a,"{1: 'Genetic/Hereditary causes', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
AUQ410b,"{2: 'Ear infections (including fluid in ears)', '.': 'Missing'}"
AUQ410c,"{3: 'Ear diseases (Otosclerosis, Menieres, Tumor)', '.': 'Missing'}"
AUQ410d,"{4: 'Illness/Infections (Measles, Meningitis, Mumps)', '.': 'Missing'}"
AUQ410e,"{5: 'Drugs/Medications', '.': 'Missing'}"
AUQ410f,"{6: 'Head or neck injury/trauma', '.': 'Missing'}"
AUQ410g,"{7: 'Loud brief explosive noise/sounds', '.': 'Missing'}"
AUQ410h,"{8: 'Noise exposure, long-term (machinery, etc.)', '.': 'Missing'}"
AUQ410i,"{9: 'Aging, getting older', '.': 'Missing'}"
AUQ410j,"{10: 'Other causes', '.': 'Missing'}"
AUQ156,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ420,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ430,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ139,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ144,"{1: 'Less than a year ago', 2: '1 year to 4 years ago', 3: '5 to 9 years ago', 4: 'Ten or more years ago', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ147,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ149a,"{1: 'A hearing aid', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ149b,"{2: 'A personal sound amplifier', '.': 'Missing'}"
AUQ149c,"{3: 'A Cochlear implant', '.': 'Missing'}"
AUQ153,"{1: 'Less than 1 hour a day', 2: '1 to 3 hours a day', 3: '4 to 7 hours a day', 4: '8 or more hours per day', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ630,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ440,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ450a,"{1: 'Speech-language', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
AUQ450b,"{2: 'Reading', '.': 'Missing'}"
AUQ450c,"{3: 'Hearing or listening skills', '.': 'Missing'}"
AUQ450d,"{4: 'Intellectual disability', '.': 'Missing'}"
AUQ450e,"{5: 'Movement or mobility difficulties', '.': 'Missing'}"
AUQ450f,"{6: 'Other developmental or disability problems', '.': 'Missing'}"
AUQ460,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ470,"{1: 'Less than 1 year', 2: '1 to 2 years', 3: '3 to 4 years', 4: '5 or more years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ101,"{1: 'Always', 2: 'Usually', 3: 'About half the time', 4: 'Seldom', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ110,"{1: 'Always', 2: 'Usually', 3: 'About half the time', 4: 'Seldom', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ480,"{1: 'Always', 2: 'Usually', 3: 'About half the time', 4: 'Seldom', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ490,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ191,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ250,"{1: 'Less than three months', 2: 'Three months to a year', 3: '1 to 4 years', 4: '5 to 9 years', 5: 'Ten or more years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ255,"{1: 'Almost always', 2: 'At least once a day', 3: 'At least once a week', 4: 'At least once a month', 5: 'Less frequently than once a month', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
