Variable,DataType,Label,Plain Description,Target
URXUMS,laboratory,"Albumin, urine (mg/L)","Albumin, urine (mg/L)",Both males and females 3 YEARS -150 YEARS
URXUCR,laboratory,"Creatinine, urine (mg/dL)","Creatinine, urine (mg/dL)",Both males and females 3 YEARS -150 YEARS
URXCRS,laboratory,"Creatinine, urine (umol/L)","Creatinine, urine (umol/L)",Both males and females 3 YEARS -150 YEARS
URDACT,laboratory,Albumin creatinine ratio (mg/g),Albumin creatinine ratio (mg/g),Both males and females 3 YEARS -150 YEARS
WTSSGP2Y,laboratory,Surplus specimen AGP 2 year weights,Surplus specimen Alpha-1-Acid Glycoprotein 2 year weights,Females only 12 YEARS -49 YEARS
SSAGP,laboratory,Alpha-1-Acid Glycoprotein (g/L),Alpha-1-Acid Glycoprotein (g/L),Females only 12 YEARS -49 YEARS
WTSA2YR,laboratory,Subsample A Weights,Subsample A Weights,Both males and females 3 YEARS -150 YEARS
URXUAS,laboratory,"Arsenic, Total - Urine (ug/L)","Arsenic, Total - Urine (ug/L)",Both males and females 3 YEARS -150 YEARS
URXUAS3,laboratory,Urinary Arsenous acid (ug/L),Urinary Arsenous acid (ug/L),Both males and females 3 YEARS -150 YEARS
URXUAS5,laboratory,Urinary Arsenic acid (ug/L),Urinary Arsenic acid (ug/L),Both males and females 3 YEARS -150 YEARS
URXUAB,laboratory,Urinary Arsenobetaine (ug/L),Urinary Arsenobetaine (ug/L),Both males and females 3 YEARS -150 YEARS
URXUAC,laboratory,Urinary Arsenocholine (ug/L),Urinary Arsenocholine (ug/L),Both males and females 3 YEARS -150 YEARS
URXUDMA,laboratory,Urinary Dimethylarsinic acid (ug/L),Urinary Dimethylarsinic acid (ug/L),Both males and females 3 YEARS -150 YEARS
URXUMMA,laboratory,Urinary Monomethylarsonic acid (ug/L),Urinary Monomethylarsonic acid (ug/L),Both males and females 3 YEARS -150 YEARS
URDUMMAL,laboratory,Urinary Monomethylarsonic acid comment,Urinary Monomethylarsonic acid comment code,Both males and females 3 YEARS -150 YEARS
LBDHDD,laboratory,Direct HDL-Cholesterol (mg/dL),Direct HDL-Cholesterol (mg/dL),Both males and females 6 YEARS -150 YEARS
LBDHDDSI,laboratory,Direct HDL-Cholesterol (mmol/L),Direct HDL-Cholesterol (mmol/L),Both males and females 6 YEARS -150 YEARS
WTSAF2YR,laboratory,Fasting Subsample 2 Year MEC Weight,Fasting Subsample 2 Year MEC Weight,Both males and females 12 YEARS -150 YEARS
LBXTR,laboratory,Triglyceride (mg/dL),Triglyceride (mg/dL),Both males and females 12 YEARS -150 YEARS
LBDTRSI,laboratory,Triglyceride (mmol/L),Triglyceride (mmol/L),Both males and females 12 YEARS -150 YEARS
LBDLDL,laboratory,"LDL-Cholesterol, Friedewald (mg/dL)","LDL-Cholesterol, Friedewald equation (mg/dL).LBDLDL = (LBXTC-(LBDHDD + LBXTR/5), round to 0 decimal places) for LBXTR less than 400 mg/dL, and missing for LBXTR greater than 400 mg/dL.LBDHDD from public release file HDL_J",Both males and females 12 YEARS -150 YEARS
LBDLDLSI,laboratory,"LDL-Cholesterol, Friedewald (mmol/L)","LDL-Cholesterol, Friedewald equation (mmol/L)",Both males and females 12 YEARS -150 YEARS
LBDLDLM,laboratory,"LDL-Cholesterol, Martin-Hopkins (mg/dL)","LDL-Cholesterol, Martin-Hopkins equation (mg/dL).LBDLDLM = (LBXTC-(LBDHDD + LBXTR/Adjustable Factor), round to 0 decimal places) for LBXTR less than 400 mg/dL, and missing for LBXTR greater than 400 mg/dL.LBDHDD from public release file HDL_J",Both males and females 12 YEARS -150 YEARS
LBDLDMSI,laboratory,"LDL-Cholesterol, Martin-Hopkins (mmol/L)","LDL-Cholesterol, Martin-Hopkins equation (mmol/L)",Both males and females 12 YEARS -150 YEARS
LBDLDLN,laboratory,"LDL-Cholesterol, NIH equation 2 (mg/dL)","LBDLDLN =  (LBXTC/0.948  â LBDHDD/0.971 â (LBXTR/8.56 + (LBXTR * (LBXTC â LBDHDD))/2140 â LBXTR^2/16100) â 9.44), round 0 decimal places) for LBXTR less than 800 mg/dL, and missing for LBXTR GE 800 mg/dL.^2 stands for power=2, or squared. LBDHDD from public release file HDL_J",Both males and females 12 YEARS -150 YEARS
LBDLDNSI,laboratory,"LDL-Cholesterol, NIH equation 2 (mmol/L)","LDL-Cholesterol, NIH equation 2 (mmol/L)",Both males and females 12 YEARS -150 YEARS
LBXTC,laboratory,Total Cholesterol (mg/dL),Total Cholesterol (mg/dL),Both males and females 6 YEARS -150 YEARS
LBDTCSI,laboratory,Total Cholesterol (mmol/L),Total Cholesterol (mmol/L),Both males and females 6 YEARS -150 YEARS
URXUCM,laboratory,"Chromium, Urine (ug/L)","Chromium, Urine (ug/L)",Both males and females 3 YEARS -150 YEARS
LBXBCR,laboratory,Chromium (ug/L),Chromium (ug/L),Both males and females 40 YEARS -150 YEARS
LBDBCRSI,laboratory,Chromium (nmol/L),Chromium (nmol/L),Both males and females 40 YEARS -150 YEARS
LBXBCO,laboratory,Cobalt (ug/L),Cobalt (ug/L),Both males and females 40 YEARS -150 YEARS
LBDBCOSI,laboratory,Cobalt (nmol/L),Cobalt (nmol/L),Both males and females 40 YEARS -150 YEARS
LBXWBCSI,laboratory,White blood cell count (1000 cells/uL),White blood cell count (1000 cells/uL),Both males and females 1 YEARS -150 YEARS
LBXLYPCT,laboratory,Lymphocyte percent (%),Lymphocyte percent (%),Both males and females 1 YEARS -150 YEARS
LBXMOPCT,laboratory,Monocyte percent (%),Monocyte percent (%),Both males and females 1 YEARS -150 YEARS
LBXNEPCT,laboratory,Segmented neutrophils percent (%),Segmented neutrophils percent (%),Both males and females 1 YEARS -150 YEARS
LBXEOPCT,laboratory,Eosinophils percent (%),Eosinophils percent (%),Both males and females 1 YEARS -150 YEARS
LBXBAPCT,laboratory,Basophils percent (%),Basophils percent (%),Both males and females 1 YEARS -150 YEARS
LBDLYMNO,laboratory,Lymphocyte number (1000 cells/uL),Lymphocyte number (1000 cells/uL),Both males and females 1 YEARS -150 YEARS
LBDMONO,laboratory,Monocyte number (1000 cells/uL),Monocyte number (1000 cells/uL),Both males and females 1 YEARS -150 YEARS
LBDNENO,laboratory,Segmented neutrophils num (1000 cell/uL),Segmented neutrophils number (1000 cell/uL),Both males and females 1 YEARS -150 YEARS
LBDEONO,laboratory,Eosinophils number (1000 cells/uL),Eosinophils number (1000 cells/uL),Both males and females 1 YEARS -150 YEARS
LBDBANO,laboratory,Basophils number (1000 cells/uL),Basophils number (1000 cells/uL),Both males and females 1 YEARS -150 YEARS
LBXRBCSI,laboratory,Red blood cell count (million cells/uL),Red blood cell count (million cells/uL),Both males and females 1 YEARS -150 YEARS
LBXHGB,laboratory,Hemoglobin (g/dL),Hemoglobin (g/dL),Both males and females 1 YEARS -150 YEARS
LBXHCT,laboratory,"Hydroxycotinine, Serum (ng/mL)","Hydroxycotinine, Serum (ng/mL)",Both males and females 3 YEARS -150 YEARS
LBXMCVSI,laboratory,Mean cell volume (fL),Mean cell volume (fL),Both males and females 1 YEARS -150 YEARS
LBXMCHSI,laboratory,Mean cell hemoglobin (pg),Mean cell hemoglobin (pg),Both males and females 1 YEARS -150 YEARS
LBXMC,laboratory,Mean Cell Hgb Conc. (g/dL),Mean cell hemoglobin concentration (g/dL),Both males and females 1 YEARS -150 YEARS
LBXRDW,laboratory,Red cell distribution width (%),Red cell distribution width (%),Both males and females 1 YEARS -150 YEARS
LBXPLTSI,laboratory,Platelet count (1000 cells/uL),Platelet count (1000 cells/uL),Both males and females 1 YEARS -150 YEARS
LBXMPSI,laboratory,Mean platelet volume (fL),Mean platelet volume (fL),Both males and females 1 YEARS -150 YEARS
LBXNRBC,laboratory,Nucleated red blood cells,Nucleated red blood cells,Both males and females 1 YEARS -150 YEARS
LBXCOT,laboratory,"Cotinine, Serum (ng/mL)","Cotinine, Serum (ng/mL)",Both males and females 3 YEARS -150 YEARS
URXCOTT,laboratory,"Cotinine, urine (ng/mL)","Cotinine, urine (ng/mL)",Both males and females 3 YEARS -150 YEARS
URXHCTT,laboratory,"Hydroxycotinine, urine (ng/mL)","Hydroxycotinine, urine (ng/mL)",Both males and females 3 YEARS -150 YEARS
URXANBT,laboratory,"Anabasine, urine (ng/mL)","Anabasine, urine (ng/mL)",Both males and females 3 YEARS -150 YEARS
URXANTT,laboratory,"Anatabine, urine (ng/mL)","Anatabine, urine (ng/mL)",Both males and females 3 YEARS -150 YEARS
URXCOXT,laboratory,"Cotinine-N-oxide, urine (ng/mL)","Cotinine-N-oxide, urine (ng/mL)",Both males and females 3 YEARS -150 YEARS
URXHPBT,laboratory,4-hydroxy-4-(3-pyridyl) C4H802 (ng/mL),"4-hydroxy-4-(3-pyridyl) butanoic acid, urine (ng/mL)",Both males and females 3 YEARS -150 YEARS
URXNICT,laboratory,"Nicotine, urine (ng/mL)","Nicotine, urine (ng/mL)",Both males and females 3 YEARS -150 YEARS
URXNNCT,laboratory,"Nornicotine, urine (ng/mL)","Nornicotine, urine (ng/mL)",Both males and females 3 YEARS -150 YEARS
URXNOXT,laboratory,"Nicotine 1'-Oxide, urine (ng/mL)","Nicotine 1'-Oxide, urine (ng/mL)",Both males and females 3 YEARS -150 YEARS
URDTNE2,laboratory,TNE - 2 (nmol/mL),Total Nicotine Equivalents (TNE) - 2 (nmol/mL),Both males and females 3 YEARS -150 YEARS
URDTNE3,laboratory,TNE - 3 (nmol/mL),Total Nicotine Equivalents (TNE) - 3 (nmol/mL),Both males and females 3 YEARS -150 YEARS
URDTNE6,laboratory,TNE - 6 (nmol/mL),Total Nicotine Equivalents (TNE) - 6 (nmol/mL),Both males and females 3 YEARS -150 YEARS
URDTNE7,laboratory,TNE - 7 (nmol/mL),Total Nicotine Equivalents (TNE) - 7 (nmol/mL),Both males and females 3 YEARS -150 YEARS
LBXIGG,laboratory,Cytomegalovirus (CMV) IgG,Cytomegalovirus (CMV) IgG,Both males and females 1 YEARS -5 YEARS
LBXIGM,laboratory,Cytomegalovirus (CMV) IgM,Cytomegalovirus (CMV) IgM,Both males and females 1 YEARS -5 YEARS
LBXIGGA,laboratory,Cytomegalovirus (CMV) IgG avidity,Cytomegalovirus (CMV) IgG avidity,Both males and females 1 YEARS -5 YEARS
LBXEOA,laboratory,Ethylene Oxide (pmol/g Hb),Ethylene Oxide (pmol/g Hb),Both males and females 6 YEARS -150 YEARS
PHQ020,laboratory,Coffee or tea with cream or sugar?,Coffee or tea with cream or sugar?  [Include milk or non-dairy creamers.],Both males and females 1 YEARS -150 YEARS
PHACOFHR,laboratory,Coffee/tea fast time (hours),The time (in hours) since the examinee last drank coffee or tea with cream or sugar.,Both males and females 1 YEARS -150 YEARS
PHACOFMN,laboratory,Coffee/tea fast time (minutes),The time (in minutes) since the examinee last drank coffee or tea with cream or sugar.,Both males and females 1 YEARS -150 YEARS
PHQ030,laboratory,"Alcohol, such as beer, wine, or liquor?","Alcohol, such as beer, wine, or liquor?",Both males and females 1 YEARS -150 YEARS
PHAALCHR,laboratory,Alcohol fast time (hours),"The time (in hours) the examinee last drank alcohol such as beer, wine, or liquor.",Both males and females 1 YEARS -150 YEARS
PHAALCMN,laboratory,Alcohol fast time (minutes),"The time (in minutes) the examinee last drank alcohol such as beer, wine, or liquor.",Both males and females 1 YEARS -150 YEARS
PHQ040,laboratory,"Gum, mints, lozenges or cough drops","Gum, breath mints, lozenges or cough drops, or other cough or cold remedies?",Both males and females 1 YEARS -150 YEARS
PHAGUMHR,laboratory,"Gum, mints cough drops fast time (hours)","The time (in hours) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.",Both males and females 1 YEARS -150 YEARS
PHAGUMMN,laboratory,"Gum, mints, cough fast time (minutes)","The time (in minutes) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.",Both males and females 1 YEARS -150 YEARS
PHQ050,laboratory,"Antacids, laxatives, or anti-diarrheals?","Antacids, laxatives, or anti-diarrheals?",Both males and females 1 YEARS -150 YEARS
PHAANTHR,laboratory,"Antacids, laxatives fast time (hours)","The time (in hours) the examinee last had antacids, laxatives or anti-diarrheals.",Both males and females 1 YEARS -150 YEARS
PHAANTMN,laboratory,"Antacids, laxatives fast time (minutes)","The time (in minutes) the examinee last had antacids, laxatives or anti-diarrheals.",Both males and females 1 YEARS -150 YEARS
PHQ060,laboratory,Dietary supplements?,Dietary supplements such as vitamins and minerals? [Include multivitamins and single nutrient supplements.],Both males and females 1 YEARS -150 YEARS
PHASUPHR,laboratory,Dietary supplements fast time (hours),The time (in hours) the examinee last had dietary supplements such as vitamins and minerals.,Both males and females 1 YEARS -150 YEARS
PHASUPMN,laboratory,Dietary supplements fast time (minutes),The time (in minutes) the examinee last had dietary supplements such as vitamins and minerals.,Both males and females 1 YEARS -150 YEARS
PHAFSTHR,laboratory,"Total length of ""food fast,"" hours",The time (in hours) between when the examinee last ate or drank anything other than water and the time of the venipuncture.,Both males and females 1 YEARS -150 YEARS
PHAFSTMN,laboratory,"Total length of  ""food fast,"" minutes",The time (in minutes) between when the examinee last ate or drank anything other than water and the time of the venipuncture.,Both males and females 1 YEARS -150 YEARS
PHDSESN,laboratory,Session in which SP was examined,Session in which SP was examined,Both males and females 1 YEARS -150 YEARS
LBXFER,laboratory,Ferritin (ng/mL),Ferritin (ng/mL),Both males and females 12 YEARS -150 YEARS
LBDFERSI,laboratory,Ferritin (ug/L),Ferritin (ug/L),Both males and females 12 YEARS -150 YEARS
WTSB2YR,laboratory,Environmental B 2-year weights,Environmental B 2-year weights,Both males and females 3 YEARS -150 YEARS
URXBCPP,laboratory,Bis (1-chloro-2-propyl) Phosphate,Bis (1-chloro-2-propyl) Phosphate,Both males and females 3 YEARS -150 YEARS
URXBCEP,laboratory,Bis-2-chloroethyl Phosphate,Bis-2-chloroethyl Phosphate,Both males and females 3 YEARS -150 YEARS
URXBDCP,laboratory,"Bis (1,3-dichloro-2-propyl) Phosphate","Bis (1,3-dichloro-2-propyl) Phosphate",Both males and females 3 YEARS -150 YEARS
URXDBUP,laboratory,Dibutyl Phosphate,Dibutyl Phosphate,Both males and females 3 YEARS -150 YEARS
